                        Natural Gas Pipeline Projects,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,Project Name,Pipeline Operator Name,Project Type,Status,Completed Date,Year In Service Date,State(s),Beg_State,End_State,Region(s),Beg_Region,End_Region,Thru_Region, Cost (millions) , Miles ,Additional Capacity (MMcf/d),Pipeline Diameter (Inches),Pipeline Type,Authority,Docket Number,Crosses State Border,Project Notes,Demand Served,Website
6/26/2009,Tenneco Reynosa/Pemex Export,Tennessee Gas Pipeline Co,Expansion,Completed,9/15/1999,1999,"TX,MX",TX,MX,"South Central, Mexico",South Central,Mexico,,  15 ,  10 ,  215 ,24,Interstate,FERC,CP98-28,,,,
6/26/2009,Tenneco Rhode Island Lateral Expansion,Tennessee Gas Pipeline Co,Lateral,Completed,9/1/2002,2002,RI,RI,RI,Northeast,Northeast,Northeast,,  14 ,,  100 ,12,Interstate,FERC,CP01-404,,,,
6/26/2009,Tenneco South Pass 77 Sys Expansion,Tennessee Gas Pipeline Co,Expansion,Completed,7/1/1998,1998,"GM,LA",GM,LA,"Gulf of Mexico, South Central",Gulf of Mexico,South Central,,  0 ,,  400 ,"12,26,36",Interstate,FERC,CP98-220,,,,
6/26/2009,Tenneco South Texas Export,Tennessee Gas Pipeline Co,Expansion,Completed,7/1/2003,2003,"TX,MX",TX,MX,"South Central, Mexico",South Central,Mexico,,  40 ,  9 ,  312 ,"24,30",Interstate,FERC,CP02-116/117,,,,
6/26/2009,Tenneco Stagecoach Lateral,Tennessee Gas Pipeline Co,Lateral,Completed,6/23/2002,2002,"NY,PA",NY,PA,Northeast,Northeast,Northeast,,  87 ,  24 ,487,"24,30",Interstate,FERC,CP00-65,,,,
6/26/2009,Tenneco Tewksbury-Andover Lateral,Tennessee Gas Pipeline Co,Lateral,Completed,10/7/2005,2005,MA,MA,MA,Northeast,Northeast,Northeast,,  8 ,5.31,25,  8 , Interstate ,FERC,CP04-60,,,,
6/26/2009,Tenneco Texas Deepwater Link,Tennessee Gas Pipeline Co,New Pipeline,Completed,6/1/2001,2001,GM,GM,GM,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,,  15 ,  18 ,  400 ,20,Interstate,FERC,CP00-441,,,,
6/26/2009,Tenneco Triple-T Extension,Tennessee Gas Pipeline Co,Expansion,Completed,9/14/2007,2007,GM,GM,GM,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,,  22 ,6.23,200,  24 , Interstate ,FERC,CP05-416,,,,
11/19/2018,Tennessee Gas Abandment Capacity and Restoration Project (Gas-to-NGL pipe),Tennessee Gas Pipeline Co,Conversion,Cancelled,,,"OH,KY,TN,MS,LA",OH,LA,"Northeast, Midwest, South Central",Northeast,South Central,Midwest,  412 ,-956.40,,,Interstate,FERC,CP15-88,Yes,,,
1/24/2018,TETCO Capacity Expansion Project,Eastern Shore Natural Gas,Expansion,Completed,7/1/2016,2016,PA,PA,DE,Northeast,Northeast,Northeast,,  1 ,  8 ,53,16,Interstate,FERC,CP16-5,Yes,,,
8/31/2016,TETCO Capacity Expansion Project,Eastern Shore Natural Gas,Expansion,Applied,,2016,PA,PA,PA,Northeast,Northeast,Northeast,,  1 ,  8 ,160,16,Interstate,FERC,CP16-6,No,,,
6/26/2009,TETCO Cedar Bayou Lateral Project,Texas Eastern Transmission,Lateral,Completed,5/28/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  17 ,  4 ,  360 ,20,Interstate,FERC,CP07-411,,,,
6/26/2009,TETCO CNG Lease Expansion,Texas Eastern Transmission,Expansion,Completed,11/1/1999,1999,PA,PA,PA,Northeast,Northeast,Northeast,,  11 ,  8 ,  49 ,36,Interstate,FERC,CP96-606-001,,,,
6/26/2009,TETCO Columbia Expansion,Texas Eastern Transmission,Expansion,Completed,11/1/1997,1997,PA,PA,PA,Northeast,Northeast,Northeast,,  63 ,  26 ,  142 ,"24,36",Interstate,FERC,CP96-559,,,,
6/26/2009,TETCO Dominion Expansion,Texas Eastern Transmission,Expansion,Completed,11/1/2004,2004,PA,PA,PA,Northeast,Northeast,Northeast,,  83 ,  35 ,  217 ,36,Interstate,FERC,CP03-43,,,,
6/26/2009,"TETCO Flex X, CNG/Oxford Storage",Texas Eastern Transmission,Lateral,Completed,11/1/1996,1996,PA,PA,PA,Northeast,Northeast,Northeast,,  8 ,  2 ,  12 ,36,Interstate,FERC,CP95-74,,,,
6/26/2009,TETCO Freehold Lateral,Texas Eastern Transmission,Lateral,Completed,12/1/2002,2002,NJ,NJ,NJ,Northeast,Northeast,Northeast,,  28 ,  13 ,  25 ,36,Interstate,FERC,CP02-17,,,,
6/26/2009,TETCO Hanging Rock Lateral,Texas Eastern Transmission,Lateral,Completed,12/1/2002,2002,OH,OH,OH,Northeast,Northeast,Northeast,,  15 ,  10 ,  289 ,24,Interstate,FERC,CP02-45,,,,
6/26/2009,TETCO Ironwood Lateral,Texas Eastern Transmission,Lateral,Completed,9/1/2000,2000,PA,PA,PA,Northeast,Northeast,Northeast,,  6 ,  4 ,  117 ,16,Interstate,FERC,CP99-621,,,,
6/26/2009,TETCO ITP Phase I,Texas Eastern Transmission,Expansion,Completed,11/1/1996,1996,"OH,WV,PA,NJ",OH,NJ,Northeast,Northeast,Northeast,,  35 ,,  25 ,,Interstate,FERC,CP92-184,,,,
6/26/2009,TETCO Lebanon Lateral Expansion,Texas Eastern Transmission,Expansion,Completed,12/30/1998,1998,"IN,OH",IN,OH,"Midwest, Northeast",Midwest,Northeast,,  31 ,  114 ,  305 ,36,Interstate,FERC,CP97-626,,,,
6/26/2009,TETCO Liberty Expansion,Texas Eastern Transmission,Lateral,Completed,9/30/2001,2001,PA,PA,PA,Northeast,Northeast,Northeast,,  22 ,  5 ,82,12,Interstate,FERC,CP00-404,,,,
6/26/2009,TETCO Line 1-A Expansion,Texas Eastern Transmission,Expansion,Completed,12/15/1997,1997,PA,PA,PA,Northeast,Northeast,Northeast,,  13 ,  23 ,  128 ,20,Interstate,FERC,CP97-276,,,,
6/26/2009,TETCO M-1 2004 Expansion,Texas Eastern Transmission,Expansion,Completed,11/1/2004,2004,"TN,AL",TN,AL,"Midwest, South Central",Midwest,South Central,,  27 ,  7 ,  57 ,36,Interstate,FERC,CP02-381,,,,
3/11/2010,TETCO Northern Bridge Project,Texas Eastern Transmission,Expansion,Completed,10/26/2009,2009,"OH,WV,PA",OH,PA,Northeast,Northeast,Northeast,,  45 ,,  150 ,,Interstate,FERC,CP08-100,,,,
8/31/2016,TETCO Supply Expansion Project,Eastern Shore Natural Gas,,Completed,12/1/2014,2014,PA,PA,PA,Northeast,Northeast,Northeast,,  0 ,  8 ,57,16, Interstate ,FERC,,,,,
11/2/2012,TETCO TEAM 2012 Expansion,Texas Eastern Transmission,Expansion,Completed,10/31/2012,2012,"WV,PA",WV,PA,Northeast,Northeast,Northeast,,  197 ,17.3,200,  36 , Interstate ,FERC,CP11-67,,,,
2/6/2014,TETCO TEAM 2014 Expansion,Texas Eastern Transmission,Expansion,Completed,11/7/2014,2014,"PA,NJ",PA,NJ,Northeast,Northeast,Northeast,,  500 ,  34 ,  600 ,36,Interstate,FERC,CP13-84,,,,
6/26/2009,TETCO TIME Expansion (Incremental Market Area Expansion),Texas Eastern Transmission,Expansion,Completed,12/1/2002,2002,"WV,NJ",WV,NJ,Northeast,Northeast,Northeast,,  75 ,  36 ,  100 ,36,Interstate,FERC,CP02-32,,,,
6/26/2009,TETCO TIME II Expansion Phase 1,Texas Eastern Transmission,Expansion,Completed,11/30/2007,2007,"PA,WV,NJ",PA,NJ,Northeast,Northeast,Northeast,,  117 ,21.64,150,  36 , Interstate ,FERC,CP06-115,,,,
6/26/2009,TETCO TIME II Expansion Phase 2,Texas Eastern Transmission,Expansion,Completed,11/1/2008,2008,"OH,WV,PA,NJ",OH,NJ,Northeast,Northeast,Northeast,,  54 ,  10 ,  150 ,36,Interstate,FERC,CP06-115,,,,
6/26/2009,TETCO Vermillion Lateral,Texas Eastern Transmission,Lateral,Completed,7/1/2000,2000,"IL,IN",IL,IN,Midwest,Midwest,Midwest,,  13 ,  14 ,  200 ,16,Interstate,FERC,CP00-67,,,,
6/26/2009,TETCO Virginia Natural Expansion,Texas Eastern Transmission,Expansion,Completed,10/15/1997,1997,PA,PA,PA,Northeast,Northeast,Northeast,,,  10 ,  20 ,36,Interstate,FERC,CP96-606,,,,
6/4/2019,Texas-Louisiana Markets Project,Texas Eastern Transmission,Expansion,Completed,5/31/2019,2019,"LA,TX",LA,TX,South Central,South Central,South Central,,  17 ,,158,,Interstate,FERC,CP18-10,Yes,Bring supplies from WLA to STX on TETCO system,,
7/10/2018,TGP Rio Bravo Hidalgo Expansion,Tennessee Gas Pipeline Co,Expansion,Completed,7/5/2018,2018,"TX, MX",TX,MX,"South Central, Mexico",South Central,Mexico,,,  0 ,  383 ,24,Interstate,FERC,"CP18-35, CP18-36",Yes,"Authorization for additional exports to Mexico; no construction needed, 283 MMcf/d at the PEMEX CHECK station (up to 468 MMcf/d) and 100 MMcf/d (up to 420 MMcf/d) at Rio Bravo Hidalgo (Genscape)",,
6/26/2009,TGT Fayetteville Lateral Phase 1,Texas Gas Transmission,New Pipeline,Completed,12/24/2008,2008,AR,AR,AR,South Central,South Central,South Central,,  205 ,  66 ,  967 ,"18,36",Interstate,FERC,CP07-417,,,,
7/8/2010,TGT Fayetteville Lateral Phase 2,Texas Gas Transmission,New Pipeline,Completed,3/27/2009,2009,"AR,MS",AR,MS,South Central,South Central,South Central,,  671 ,  166 ,  967 ,36,Interstate,FERC,CP07-417,,,,
7/8/2010,TGT Fayetteville Lateral Phase 3,Texas Gas Transmission,New Pipeline,Completed,1/23/2010,2010,AR,AR,AR,South Central,South Central,South Central,,  162 ,,333,, Interstate ,FERC,CP08-467,,,,
7/8/2010,TGT Greenville Lateral,Texas Gas Transmission,New Pipeline,Completed,3/27/2009,2009,MS,MS,MS,South Central,South Central,South Central,,  373 ,96.4,768,  36 , Interstate ,FERC,CP07-417,,,,
7/8/2010,TGT Greenville Lateral Expansion,Texas Gas Transmission,Expansion,Completed,1/3/2010,2010,MS,MS,MS,South Central,South Central,South Central,,  162 ,,232,, Interstate ,FERC,CP08-467,,,,
6/26/2009,TGT Haughton Expansion,Texas Gas Transmission,Expansion,Completed,11/1/1998,1998,LA,LA,LA,South Central,South Central,South Central,,  6 ,,  115 ,20,Interstate,FERC,CP97-656,,,,
7/8/2010,TGT Midland Storage Lateral Exp,Texas Gas Transmission,Lateral,Completed,10/1/2009,2009,KY,KY,KY,Midwest,Midwest,Midwest,,  6 ,  11 ,  92 ,30,Interstate,FERC,CP07-405,,,,
6/26/2009,TGT West Greenville-Elkton Lateral,Texas Gas Transmission,Expansion,Completed,12/20/2006,2006,KY,KY,KY,Midwest,Midwest,Midwest,,  14 ,  28 ,  80 ,"10,12",Interstate,FERC,CP06-22,,,,
12/6/2013,Tioga Area Expansion Project,Dominion Transmission,Expansion,Completed,10/3/2013,2013,PA,PA,PA,Northeast,Northeast,Northeast,,  67 ,  15 ,  270 ,24,Interstate,FERC,CP12-19,,,,
11/1/2011,Tioga County Extension Project,Empire Pipeline,New Pipeline,Completed,11/20/2011,2011,"PA,NY",PA,NY,Northeast,Northeast,Northeast,,  47 ,15,350,  24 , Interstate ,FERC,CP10-493,,,,
8/22/2013,Tioga Lateral Project,Alliance Pipeline LP,Lateral,Completed,9/1/2013,2013,ND,ND,ND,Mountain,Mountain,Mountain,,  167 ,80,126.4,  12 , Interstate ,FERC,CP12-50,,,,
4/27/2021,Tougaloo Project,Southern Star Central Gas Pipeline,Expansion,Completed,8/12/2020,na,OK,OK,OK,South Central,South Central,South Central,,  13 ,,40,, Interstate ,FERC,CP20-71,No,Takeaway capacity out of SCOOP/STACK and Permian Basin.  Add compressor station to bring supply into Southern Star System,,
6/26/2009,TPL 2002 Sys Expansion Phase I,Tuscarora Pipeline Co,Lateral,Completed,11/20/2002,2002,"OR,CA,NV",OR,NV,"Pacific, Mountain",Pacific,Mountain,,  36 ,  11 ,  54 ,16,Interstate,FERC,CP01-153,,,,
1/14/2022,Trail County Pipeline,"Dakota Natural Gas, LLC",Expansion,Completed,8/5/2021,2021,"MN, ND",MN,ND,"Midwest, Mountain",Midwest,Mountain,,  9 ,  63 ,,  4 , Interstate ,FERC,CP20-155,Yes,Deliver natural gas fom Viking pipeline in MN into ND customers (currently use propane for heating),LDC,
1/14/2022,Trail West/N-MAX,Northwest Pipeline Co,Expansion,Cancelled/On Hold,,na,OR,OR,OR,Pacific,Pacific,Pacific,,  800 ,106,450,30,Interstate,FERC,na,No,,,
6/26/2009,Trailblazer 2002 System Expansion,Trailblazer Pipeline Co,Expansion,Completed,5/10/2002,2002,"CO,KS,NE",CO,NE,Mountain,Mountain,Mountain,South Central,  59 ,,  324 ,36,Interstate,FERC,CP01-54,,,,
6/26/2009,Trailblazer Eastward Expansion,Trailblazer Pipeline Co,Expansion,Completed,9/1/1997,1997,"CO,KS,NE",CO,NE,Mountain,Mountain,Mountain,South Central,  11 ,445,105,  36 , Interstate ,FERC,CP96-506,,,,
4/9/2021,TransCameron Pipeline,TransCameron Pipeline LLC/Venture Global Calcasieu Pass,Lateral,Completed,4/7/2021,2021,LA,LA,LA,South Central,South Central,South Central,,  345 ,  24 ,"1,900",42,Interstate,FERC,CP15-551,No,Built in conjunction with Calcasieu Pass LNG Terminal,LNG,http://venturegloballng.com/calcasieu-pass/transcameron-pipeline/#.WxFgBfkvyJA 
7/14/2010,Transco 85 North Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Completed,4/27/2011,2011,"AL,GA,SC,NC",AL,NC,"South Central, Southeast",South Central,Southeast,,  148 ,  22 ,  219 ,42,Interstate,FERC,CP09-57,,,,
7/14/2010,Transco 85 North Expansion Phase I,Transcontinental Gas Pipeline,Expansion,Completed,7/13/2010,2010,NC,NC,NC,Southeast,Southeast,Southeast,,  100 ,,  90 ,,Interstate,FERC,CP09-57,,,,
6/26/2009,Transco BASF Lateral,Transcontinental Gas Pipeline,Expansion,Completed,12/1/1998,1998,SC,SC,SC,Southeast,Southeast,Southeast,,,  2 ,  4 ,4,Interstate,FERC,CP98-21,,,,
6/26/2009,Transco Central New Jersey Expansion Project,Transcontinental Gas Pipeline,Expansion,Completed,11/1/2005,2005,NJ,NJ,NJ,Northeast,Northeast,Northeast,,  12 ,  4 ,  105 ,36,Interstate,FERC,CP04-396,,,,
6/26/2009,Transco Cherokee Project,Transcontinental Gas Pipeline,Expansion,Completed,11/1/1998,1998,"AL,GA",AL,GA,"South Central, Southeast",South Central,Southeast,,  68 ,  16 ,  87 ,"16,48",Interstate,FERC,CP97-331,,,,
7/5/2017,Transco Dalton Expansion Project,Transcontinental Gas Pipeline,Lateral,Completed,4/1/2017,2017,GA,GA,GA,Southeast,Southeast,Southeast,,  472 ,  115 ,  448 ,16,Interstate,FERC,CP15-117,No,,,
7/16/2012,Transco Elba Express Interconnects - Georgia,Transcontinental Gas Pipeline,Lateral,Completed,3/1/2010,2010,GA,GA,GA,Southeast,Southeast,Southeast,,  25 ,,1175,, Interstate ,FERC,CP09-88,,,,
7/16/2012,Transco Elba Express Interconnects -South Carolina,Transcontinental Gas Pipeline,Lateral,Completed,3/1/2010,2010,SC,SC,SC,Southeast,Southeast,Southeast,,,,"  1,175 ",,Interstate,FERC,CP09-88,,,,
6/26/2009,Transco Lateral Interconnect,Cove Point LNG Pipeline Co,Lateral,Completed,12/31/2001,2001,VA,VA,VA,Northeast,Northeast,Northeast,,  11 ,  2 ,"  1,000 ",36,Interstate,FERC,CP01-156,,,,
6/26/2009,Transco Leidy East Expansion,Transcontinental Gas Pipeline,Expansion,Completed,6/1/2002,2002,"PA,NJ,NY",PA,NY,Northeast,Northeast,Northeast,,  128 ,  31 ,  126 ,42,Interstate,FERC,CP01-389,,,,
6/26/2009,Transco Leidy to Long Island Expansion,Transcontinental Gas Pipeline,Expansion,Completed,12/13/2007,2007,"PA,NJ,NY",PA,NY,Northeast,Northeast,Northeast,,  162 ,  15 ,  100 ,,Interstate,FERC,CP06-34,,,,
6/26/2009,Transco Maiden Lateral Expansion,Transcontinental Gas Pipeline,Expansion,Completed,12/1/1997,1997,NC,NC,NC,Southeast,Southeast,Southeast,,  13 ,18,38," 10,16 ", Interstate ,FERC,CP97-193,,,,
6/26/2009,Transco MarketLink Phase I,Transcontinental Gas Pipeline,Expansion,Completed,12/1/2001,2001,"PA,NJ,NY",PA,NY,Northeast,Northeast,Northeast,,  123 ,  30 ,  162 ,42,Interstate,FERC,CP98-540,,,,
6/26/2009,Transco MarketLink Phase II,Transcontinental Gas Pipeline,Expansion,Completed,5/1/2002,2002,"NJ,NY",NJ,NY,Northeast,Northeast,Northeast,,  120 ,  30 ,  127 ,42,Interstate,FERC,CP98-540,,,,
7/16/2012,Transco Mid-South Expansion Phase 1,Transcontinental Gas Pipeline,Expansion,Completed,5/15/2012,2012,"AL,GA,SC,NC",AL,NC,"South Central, Southeast",South Central,Southeast,,  93 ,22.59,95,  42 , Interstate ,FERC,CP11-18,,,,
6/16/2013,Transco Mid-South Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Completed,6/3/2013,2013,AL,AL,AL,South Central,South Central,South Central,,  127 ,  23 ,  130 ,,Interstate,FERC,CP11-18,,,,
6/26/2009,Transco Mobile Bay Lat Expansion I,Transcontinental Gas Pipeline,Expansion,Completed,8/1/1998,1998,"GM,AL",GM,AL,"Gulf of Mexico, South Central",Gulf of Mexico,South Central,,  120 ,  76 ,  350 ,24,Interstate,FERC,CP97-92,,,,
7/29/2010,Transco Mobile Bay South Expansion,Transcontinental Gas Pipeline,Expansion,Completed,5/1/2010,2010,AL,AL,AL,South Central,South Central,South Central,,  37 ,,  254 ,,Interstate,FERC,CP08-476,,,,
6/26/2009,Transco Momentum Phase I,Transcontinental Gas Pipeline,Expansion,Completed,5/1/2003,2003,"LA,AL,MS,GA,SC,NC",LA,NC,"South Central, Southeast",South Central,Southeast,,  164 ,  42 ,  262 ,"42,48",Interstate,FERC,CP01-388,,,,
6/26/2009,Transco Momentum Phase II,Transcontinental Gas Pipeline,Expansion,Completed,2/1/2004,2004,"AL,MS,GA,SC,VA",AL,VA,"South Central, Southeast, Northeast",South Central,Northeast,Southeast,  25 ,  26 ,  53 ,42,Interstate,FERC,CP01-388,,,,
6/26/2009,Transco Pine Needle LNG Link,Transcontinental Gas Pipeline,Lateral,Completed,5/1/1999,1999,NC,NC,NC,Southeast,Southeast,Southeast,,  1 ,  1 ,  400 ,"10,20",Interstate,FERC,CP96-134,,,,
6/26/2009,Transco Pocono Expansion,Transcontinental Gas Pipeline,Expansion,Completed,11/1/1998,1997,PA,PA,PA,Northeast,Northeast,Northeast,,  10 ,  5 ,  35 ,36,Interstate,FERC,CP97-328,,,,
6/26/2009,Transco Potomac Expansion,Transcontinental Gas Pipeline,Expansion,Completed,11/9/2007,2007,"NC,MD",NC,MD,"Southeast, Northeast",Southeast,Northeast,,  76 ,19.37,165," 30,42 ", Interstate ,FERC,CP06-421,,,,
6/20/2015,Transco Rockaway Delivery Project,Transcontinental Gas Pipeline,New Pipeline,Completed,5/14/2015,2015,NY,NY,NY,Northeast,Northeast,Northeast,,  12 ,3.2,647,  26 , Interstate ,FERC,CP13-36,No,,,
7/8/2010,Transco Sentinel Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Completed,11/1/2009,2009,"PA,NJ",PA,NJ,Northeast,Northeast,Northeast,,  229 ,  14 ,  102 ,42,Interstate,FERC,CP08-31,,,,
6/26/2009,Transco Sentinel Expansion Phase I,Transcontinental Gas Pipeline,Expansion,Completed,12/15/2008,2008,"PA,NJ",PA,NJ,Northeast,Northeast,Northeast,,  33 ,  4 ,  40 ,42,Interstate,FERC,CP08-31,,,,
6/26/2009,Transco SouthCoast Expansion,Transcontinental Gas Pipeline,Expansion,Completed,11/3/2000,2000,"AL,GA",AL,GA,"South Central, Southeast",South Central,Southeast,,  108 ,  44 ,  200 ,"24,42,48",Interstate,FERC,CP99-392,,,,
6/26/2009,Transco Southeastern Expansion II,Transcontinental Gas Pipeline,Expansion,Completed,11/1/1996,1996,"AL,GA,SC,NC,VA",AL,VA,"South Central, Southeast, Northeast",South Central,Northeast,Southeast,,  532 ,  55 ,42,Interstate,FERC,CP94-109-002,,,,
6/26/2009,Transco Sunbelt Project,Transcontinental Gas Pipeline,Expansion,Completed,11/1/1997,1997,"MS,GA,AL,SC",MS,SC,"South Central, Southeast",South Central,Southeast,,  85 ,,  145 ,42,Interstate,FERC,CP96-16,,,,
6/26/2009,Transco Sundance Expansion,Transcontinental Gas Pipeline,Lateral,Completed,5/1/2002,2002,"LA,AL,GA,SC,NC,VA",LA,VA,"South Central, Southeast, Northeast",South Central,Northeast,Southeast,  135 ,  38 ,  230 ,"42,48",Interstate,FERC,CP00-165,,,,
4/2/2018,Transco to Charleston Project,Dominion Carolina Gas Transmission,Expansion,Completed,2/27/2018,2018,SC,SC,SC,Southeast,Southeast,Southeast,,  119 ,  55 ,  80 ,12,Interstate,FERC,CP16-98,No,Supplies Corpus Christi LNG,,
6/26/2009,Transco Trenton-Woodbury Loop,Transcontinental Gas Pipeline,Expansion,Completed,11/1/2003,2003,"PA,NJ",PA,NJ,Northeast,Northeast,Northeast,,  33 ,  10 ,  49 ,"24,36",Interstate,FERC,CP02-204,,,,
6/26/2009,TransColorado 2004 Expansion,TransColorado Pipeline,Expansion,Completed,9/1/2004,2004,"CO,NM",CO,NM,Mountain,Mountain,Mountain,,  33 ,,  125 ,22,Interstate,FERC,CP04-12,,,,
6/26/2009,TransColorado Blanco Hub,TransColorado Pipeline,Expansion,Completed,12/1/1996,1996,"CO,NM",CO,NM,Mountain,Mountain,Mountain,,  35 ,  41 ,  120 ,24,Interstate,FERC,CP90-1777,,,,
6/26/2009,TransColorado Blanco-to-Meeker Expansion,TransColorado Pipeline,Expansion,Completed,12/31/2007,2007,"NM,CO",NM,CO,Mountain,Mountain,Mountain,,  58 ,  0 ,  250 ,"16,24",Interstate,FERC,CP06-401,,,,
6/26/2009,TransColorado Dark Canyon PL,TransColorado Pipeline,Expansion,Completed,2/15/1999,1999,CO,CO,CO,Mountain,Mountain,Mountain,,  4 ,  5 ,  157 ,22,Interstate,FERC,CP99-05,,,,
6/26/2009,TransColorado North Expansion Project,TransColorado Pipeline,Expansion,Completed,1/1/2006,2006,CO,CO,CO,Mountain,Mountain,Mountain,,  16 ,,300," 12,24 ", Interstate ,FERC,CP05-45,,,,
6/26/2009,TransColorado Pipeline (Northern),TransColorado Pipeline,Expansion,Completed,2/15/1999,1999,CO,CO,CO,Mountain,Mountain,Mountain,,  240 ,  266 ,  300 ,22,Interstate,FERC,CP90-1777,,,,
6/26/2009,Transok West-to-East Expansion,Transok Pipeline Co,New Pipeline,Completed,4/1/1997,1997,OK,OK,OK,South Central,South Central,South Central,,  75 ,  130 ,255,24,Intrastate,State,na,,,,
4/28/2017,Trans-Pecos Pipeline,Trans-Pecos Pipeline LLC,New Pipeline,Completed,3/31/2017,2017,"TX,MX",TX,MX,"South Central, Mexico",South Central,Mexico,,  4 ,  148 ,"  1,400 ",42,Interstate,FERC,CP15-500,Yes,,,
6/26/2009,Trans-Union Interstate Pipeline Proj,Trans-Union Pipeline Co,New Pipeline,Completed,10/30/2001,2001,"LA,AR",LA,AR,South Central,South Central,South Central,,  45 ,  42 ,  427 ,30,Interstate,FERC,CP00-47,,,,
8/14/2019,Transwestern Lea County Expansion,Transwestern Pipeline Co,Expansion,Completed,4/24/2019,2019,NM,NM,NM,Mountain,Mountain,Mountain,,  2 ,,130,,Intrastate,FERC,CP18-47,No,,,
6/1/2013,Tres Palacios Copano Interconnect,Tres Palacios Gas Storage LLC,Lateral,Completed,5/23/2013,2013,TX,TX,TX,South Central,South Central,South Central,,  -   ,19.7,400,  24 , interstate ,FERC,CP12-36,,,,
7/22/2010,Tres Palacios Storage Lateral,NGS Investments LLC,Lateral,Completed,10/1/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  60 ,  42 ,"  2,500 ",36,Interstate,FERC,CP07-90,,,,
11/29/2017,Triad Expansion Project,Tennessee Gas Pipeline Co,Expansion,Completed,11/1/2017,2017,PA,PA,PA,Northeast,Northeast,Northeast,,  87 ,  7 ,  180 ,36,Interstate,FERC,CP15-520,No,,,
1/21/2021,Tri-West Project,Dominion Energy Transmission Co,Expansion,Completed,8/28/2020,2020,"PA,OH",PA,OH,Northeast,Northeast,Northeast,,  24 ,  2 ,120,,Interstate,FERC,CP20-23,Yes,Upgrading three compressor stations and new lateral in order to bring gas from PA to Midwest markets (deliver into Tennessee Gas Pipeline)(only construction in OH),,https://www.dominionenergy.com/library/domcom/media/about-us/natural-gas-projects/tri-west-project-overview.pdf?modified=20200113182306&la=en
1/24/2018,Trunkline Backhaul Project,Trunkline Gas Co,Reversal,Completed,8/31/2017,2017,"IL,KY,TN,MS",IL,MS,"Midwest, South Central",Midwest,South Central,,  51 ,,  800 ,,Interstate,FERC,CP15-96,Yes,,,
6/26/2009,Trunkline Field Zone Expansion II,Trunkline Gas Co,Expansion,Completed,11/15/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  23 ,  7 ,  95 ,36,Interstate,FERC,CP08-99,,,,
6/26/2009,Trunkline Kaplan-to-Henry Hub (NTX) Extension,Trunkline Gas Co,Expansion,Completed,2/1/2008,2008,LA,LA,LA,South Central,South Central,South Central,,  20 ,  14 ,  625 ,36,Interstate,FERC,CP06-452,,,,
6/26/2009,Trunkline Lake Charles Lateral Loop 2005,Trunkline Gas Co,Expansion,Completed,10/1/2005,2005,LA,LA,LA,South Central,South Central,South Central,,  40 ,  23 ,"  1,100 ",36,Interstate,FERC,CP04-64,,,,
6/26/2009,Trunkline North Texas 2007 Expansion,Trunkline Gas Co,Expansion,Completed,11/20/2007,2007,"TX,LA",TX,LA,South Central,South Central,South Central,,  179 ,45,625,  36 , Interstate ,FERC,CP06-452,,,,
6/26/2009,Trunkline Terrebonne Expansion,Trunkline Gas Co,Expansion,Completed,4/1/1998,1998,"GM,LA",GM,LA,"Gulf of Mexico, South Central",Gulf of Mexico,South Central,,  52 ,,  500 ,,Interstate,FERC,CP97-105,,,,
6/26/2009,Tuscarora 2008 Sys Expansion,Tuscarora Pipeline Co,Lateral,Completed,4/1/2008,2008,"NV,CA",NV,CA,"Mountain, Pacific",Mountain,Pacific,,  17 ,  0 ,  40 ,,Interstate,FERC,CP07-27,,,,
8/18/2016,Tuscarora Lateral Project,Empire Pipeline,Lateral,Completed,11/4/2015,2015,NY,NY,NY,Northeast,Northeast,Northeast,,  44 ,  17 ,  54 ,"12,16",Interstate,FERC,CP14-112,No,,,
11/19/2021,Tuscarora Xpress Project,TC Energy ,Expansion,Completed,11/8/2021,2021,"OR,CA,NV",OR,NV,"Pacific, Mountain",Pacific,Mountain,,  13 ,,15,,Interstate,FERC,CP20-486,Yes,"Increase compression on line to deliver natural gas from Malin, OR hub to northern NV (Reno) market",,https://www.tcenergy.com/operations/natural-gas/tuscarora-xpress-project/
6/26/2009,Tuscola East Replacement Project,Panhandle Eastern Pipeline Co,Expansion,Completed,4/1/2008,2008,"IN,OH",IN,OH,"Midwest, Northeast",Midwest,Northeast,,  56 ,  31 ,  500 ,30,Interstate,FERC,CP06-428,,,,
6/26/2009,TW Bloomfield Station 02 Expansion,Transwestern Pipeline Co,Expansion,Completed,6/1/2002,2002,NM,NM,NM,Mountain,Mountain,Mountain,,  0 ,,  10 ,,Interstate,FERC,CP02-134,,,,
6/26/2009,TW Bloomfield Station 97 Expansion,Transwestern Pipeline Co,Expansion,Completed,12/1/1997,1997,NM,NM,NM,Mountain,Mountain,Mountain,,  0 ,,  26 ,,Interstate,FERC,CP97-286,,,,
